2025/07/04 08:34:00 [error] 309827#309827: *355 directory index of "/var/www/html/webcam.sebastian-selle.de/bilder/" is forbidden, client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /bilder/ HTTP/1.1", host: "webcam.sebastian-selle.de"
2025/07/04 08:34:45 [error] 309827#309827: *391 directory index of "/var/www/html/webcam.sebastian-selle.de/bilder/" is forbidden, client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /bilder/ HTTP/1.1", host: "webcam.sebastian-selle.de"
2025/07/04 08:34:46 [error] 309827#309827: *394 directory index of "/var/www/html/webcam.sebastian-selle.de/bilder/" is forbidden, client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /bilder/ HTTP/1.1", host: "webcam.sebastian-selle.de"
2025/07/04 08:34:46 [error] 309827#309827: *397 directory index of "/var/www/html/webcam.sebastian-selle.de/bilder/" is forbidden, client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /bilder/ HTTP/1.1", host: "webcam.sebastian-selle.de"
2025/07/04 08:34:46 [error] 309827#309827: *400 directory index of "/var/www/html/webcam.sebastian-selle.de/bilder/" is forbidden, client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /bilder/ HTTP/1.1", host: "webcam.sebastian-selle.de"
2025/07/04 08:35:06 [error] 309827#309827: *403 directory index of "/var/www/html/webcam.sebastian-selle.de/bilder/" is forbidden, client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /bilder/ HTTP/1.1", host: "webcam.sebastian-selle.de"
2025/07/04 08:35:07 [error] 309827#309827: *406 directory index of "/var/www/html/webcam.sebastian-selle.de/bilder/" is forbidden, client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /bilder/ HTTP/1.1", host: "webcam.sebastian-selle.de"
2025/07/04 08:35:07 [error] 309826#309826: *409 directory index of "/var/www/html/webcam.sebastian-selle.de/bilder/" is forbidden, client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /bilder/ HTTP/1.1", host: "webcam.sebastian-selle.de"
2025/07/04 08:35:07 [error] 309826#309826: *412 directory index of "/var/www/html/webcam.sebastian-selle.de/bilder/" is forbidden, client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /bilder/ HTTP/1.1", host: "webcam.sebastian-selle.de"
2025/07/04 08:50:22 [crit] 399#399: *1 connect() to unix:/run/php/php8.3-fpm.sock failed (2: No such file or directory) while connecting to upstream, client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/run/php/php8.3-fpm.sock:", host: "webcam.sebastian-selle.de"
2025/07/04 08:50:22 [crit] 398#398: *3 connect() to unix:/run/php/php8.3-fpm.sock failed (2: No such file or directory) while connecting to upstream, client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://unix:/run/php/php8.3-fpm.sock:", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/"
2025/07/04 10:13:20 [error] 26124#26124: *5 open() "/var/www/html/webcam.sebastian-selle.de/bilder/unterwegs.jpg" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /bilder/unterwegs.jpg?t=1751624000 HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/"
2025/07/04 10:13:22 [error] 26124#26124: *11 open() "/var/www/html/webcam.sebastian-selle.de/bilder/unterwegs.jpg" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /bilder/unterwegs.jpg?t=1751624002 HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/"
2025/07/04 10:14:08 [error] 26124#26124: *20 open() "/var/www/html/webcam.sebastian-selle.de/bilder/unterwegs.jpg" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /bilder/unterwegs.jpg?t=1751624048 HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/"
2025/07/04 10:15:10 [error] 26123#26123: *34 open() "/var/www/html/webcam.sebastian-selle.de/bilder/unterwegs.jpg" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /bilder/unterwegs.jpg?t=1751624110 HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/"
2025/07/04 10:15:11 [error] 26123#26123: *40 open() "/var/www/html/webcam.sebastian-selle.de/bilder/unterwegs.jpg" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /bilder/unterwegs.jpg?t=1751624111 HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/"
2025/07/04 10:15:12 [error] 26123#26123: *46 open() "/var/www/html/webcam.sebastian-selle.de/bilder/unterwegs.jpg" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /bilder/unterwegs.jpg?t=1751624111 HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/"
2025/07/04 10:15:12 [error] 26124#26124: *51 open() "/var/www/html/webcam.sebastian-selle.de/bilder/unterwegs.jpg" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /bilder/unterwegs.jpg?t=1751624112 HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/"
2025/07/04 10:15:12 [error] 26124#26124: *58 open() "/var/www/html/webcam.sebastian-selle.de/bilder/unterwegs.jpg" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /bilder/unterwegs.jpg?t=1751624112 HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/"
